"","X__1","Habitantes 2009","Habitantes 2010","Habitantes 2011","Habitantes 2012","Habitantes 2013","Habitantes 2014","Habitantes 2015"
"1","01. Centro","143593","143392","141819","140214","136669","132688","131875"
"2","02. Arganzuela","154132","154752","154574","154667","153241","150892","150849"
"3","03. Retiro","124617","122614","121808","121187","119811","118338","118247"
"4","04. Salamanca","148474","147558","147020","146460","144899","142993","142816"
"5","05. Chamartín","146193","146238","145918","145739","144049","142060","142023"
"6","06. Tetuán","156183","156980","156442","156512","154173","151692","151703"
"7","07. Chamberí","146590","144459","142921","141602","140300","137936","137409"
"8","08. Fuencarral - El Pardo","223678","230828","232660","234355","233909","232770","234186"
"9","09. Moncloa - Aravaca","118857","118818","118143","117361","116895","115807","116295"
"10","10. Latina","259252","253486","249498","246469","242167","236088","234119"
"11","11. Carabanchel","256248","255818","253344","250882","246204","241505","241115"
"12","12. Usera","141007","141009","139452","137720","135486","133200","133380"
"13","13. Puente de Vallecas","245614","242513","239721","236863","231762","227437","226665"
"14","14. Moratalaz","104471","101892","100591","99271","97372","95492","94710"
"15","15. Ciudad Lineal","229558","227312","224556","222144","217407","212996","212084"
"16","16. Hortaleza","170609","175167","175425","175071","173770","173524","176041"
"17","17. Villaverde","149594","149168","147779","146322","143868","141320","141021"
"18","18. Villa de Vallecas","76981","90283","93759","96596","98726","99202","100888"
"19","19. Vicálvaro","69476","70894","70994","70777","70211","69546","69582"
"20","20. San Blas-Canillejas","157021","157805","156895","156459","155128","152910","152929"
"21","21. Barajas","44568","46004","46266","46430","46062","45666","46006"
"22","No consta","-","-","-","-","-","-","-"
